team_name,team_id
Air Force,721
Akron,5
Alabama,8
Appalachian State,27
Arizona,29
Arizona State,28
Arkansas,31
Arkansas State,30
Army,725
Auburn,37
BYU,77
Ball State,47
Baylor,51
Boise State,66
Boston College,67
Bowling Green,71
Buffalo,86
California,107
Central Michigan,129
Charlotte,458
Cincinnati,140
Clemson,147
Coastal Carolina,149
Colorado,157
Colorado State,156
Connecticut,164
Duke,193
East Carolina,196
Eastern Michigan,204
Florida,235
Florida Atlantic,229
Florida International,231
Florida State,234
Fresno State,96
Georgia,257
Georgia Southern,253
Georgia State,254
Georgia Tech,255
Hawai'i,277
Houston,288
Illinois,301
Indiana,306
Iowa,312
Iowa State,311
Jacksonville State,315
James Madison,317
Kansas,328
Kansas State,327
Kennesaw State,1157
Kent State,331
Kentucky,334
LSU,365
Liberty,355
Louisiana Tech,366
Louisiana-Lafayette,671
Louisiana-Monroe,498
Louisville,367
Marshall,388
Maryland,392
Massachusetts,400
Memphis,404
Miami (Florida),415
Miami (Ohio),414
Michigan,418
Michigan State,416
Middle Tennessee,419
Minnesota,428
Mississippi,433
Mississippi State,430
Missouri,434
Navy,726
Nebraska,463
Nevada,466
New Mexico,473
New Mexico State,472
North Carolina,457
North Carolina State,490
North Texas,497
Northern Illinois,503
Northwestern,509
Notre Dame,513
Ohio,519
Ohio State,518
Oklahoma,522
Oklahoma State,521
Old Dominion,523
Oregon,529
Oregon State,528
Penn State,539
Pittsburgh,545
Purdue,559
Rice,574
Rutgers,587
SMU,663
Sam Houston State,624
San Diego State,626
San Jose State,630
South Alabama,646
South Carolina,648
South Florida,651
Southern Mississippi,664
Stanford,674
Syracuse,688
TCU,698
Temple,690
Tennessee,694
Texas,703
Texas A&M,697
Texas State,670
Texas Tech,700
Toledo,709
Troy,716
Tulane,718
Tulsa,719
UAB,9
UCF,128
UCLA,110
UNLV,465
USC,657
UTEP,704
UTSA,706
Utah,732
Utah State,731
Vanderbilt,736
Virginia,746
Virginia Tech,742
Wake Forest,749
Washington,756
Washington State,754
West Virginia,768
Western Kentucky,772
Western Michigan,774
Wisconsin,796
Wyoming,811
