year,team,wins,losses,scoring_points_game,scoring_points_game_opp,avg_yards_per_play,avg_yards_per_play_opp,first_downs_total,first_downs_total_opp,passing_rating,passing_rating_opp,rushing_attempts,rushing_yards,rushing_tds,rushing_attempts_opp,rushing_yards_opp,rushing_tds_opp,pass_attempts,pass_completions,pass_ints,pass_tds,pass_attempts_opp,pass_completions_opp,pass_ints_opp,pass_tds_opp,interceptions_returns,interceptions_yards,interceptions_tds,interceptions_returns_opp,interceptions_yards_opp,interceptions_tds_opp,fumbles_total,fumbles_lost,fumbles_total_opp,fumbles_lost_opp,penalties_number,penalties_yards,penalties_number_opp,penalties_yards_opp,red_zone_success_pct,red_zone_success_pct_opp,redzone_attempts,redzone_scores,redzone_attempts_opp,redzone_scores_opp,time_possession_sec,time_possession_sec_opp,win_percentage,turnovers_gained,turnovers_committed,turnover_margin,net_scoring_points_game,net_avg_yards_per_play,net_red_zone_success_pct,net_time_possession_sec,net_penalties_yards
2016,Air Force,10,3,35.2,26.2,6.02,5.79,302,229,163.57,135.95,827,4126,39,436,1484,20,150,68,8,14,383,201,15,23,15,145,1,8,97,1,22,9,14,8,67,681,70,530,88.33,81.4,60,53,43,35,2043.38,1556.62,0.7692307692307693,23,17,6,9.0,0.23,6.93,486.76,-151
2016,Akron,5,7,27.4,33.6,5.99,6.05,234,294,133.53,138.18,380,1586,13,534,2696,27,396,217,14,25,390,239,8,22,8,107,1,14,126,0,17,8,8,6,91,807,80,794,84.85,85.48,33,28,62,53,1558.92,2041.08,0.4166666666666667,14,22,-8,-6.2,-0.06,-0.63,-482.16,-13
2016,Alabama,14,1,38.8,13.0,6.47,3.99,315,217,143.35,106.47,639,3675,33,476,959,5,417,265,9,26,507,273,16,15,16,398,6,9,96,0,26,10,26,13,86,660,58,471,89.23,84.0,65,58,25,21,1855.93,1744.07,0.9333333333333333,29,19,10,25.8,2.48,5.23,111.86,-189
2016,Appalachian State,10,3,29.2,17.8,6.13,4.99,291,232,130.32,107.45,578,3262,29,415,1637,15,334,203,8,16,444,255,20,12,20,271,2,8,20,0,17,5,6,1,79,750,77,694,87.23,72.97,47,41,37,27,2015.85,1584.15,0.7692307692307693,21,13,8,11.4,1.14,14.26,431.7,-56
2016,Arizona,3,9,24.8,38.3,6.08,6.1,246,302,116.16,153.3,509,2820,26,496,2330,27,306,157,12,13,427,281,8,34,8,32,0,12,100,0,24,9,19,6,76,768,102,877,75.61,89.29,41,31,56,50,1550.42,2049.58,0.25,14,21,-7,-13.5,-0.02,-13.68,-499.16,109
2016,Arizona State,5,7,33.3,39.8,5.21,7.07,244,278,127.79,156.94,475,1578,27,399,1957,25,425,257,14,16,485,310,9,33,9,203,1,14,133,1,15,7,21,8,66,624,82,723,91.49,91.67,47,43,48,44,1811.17,1788.83,0.4166666666666667,17,21,-4,-6.5,-1.86,-0.18,22.34,99
2016,Arkansas,7,6,30.3,31.1,6.03,6.75,288,249,145.63,129.48,517,2135,21,452,2671,39,406,247,15,26,370,218,10,12,10,229,4,15,244,2,13,10,23,11,80,680,57,526,79.31,85.42,58,46,48,41,2083.69,1493.23,0.5384615384615384,21,25,-4,-0.8,-0.72,-6.11,590.46,-154
2016,Arkansas State,8,5,27.3,21.5,5.37,4.99,242,251,136.0,117.26,517,1784,19,522,1864,13,402,231,9,21,424,230,11,15,11,136,1,9,85,1,20,8,21,11,107,835,89,713,78.43,80.49,51,40,41,33,1741.92,1858.08,0.6153846153846154,22,17,5,5.8,0.38,-2.06,-116.16,-122
2016,Army,8,5,29.9,19.8,5.89,5.09,284,188,110.83,115.11,790,4414,46,406,1576,17,123,54,11,7,338,191,17,14,17,98,0,11,73,1,31,14,12,5,62,548,79,626,82.35,87.88,51,42,33,29,2076.08,1523.92,0.6153846153846154,22,25,-3,10.1,0.8,-5.53,552.16,78
2016,Auburn,8,5,31.2,17.1,6.13,5.07,286,250,135.17,116.83,645,3527,33,462,1726,8,289,178,6,12,466,270,11,14,11,83,0,6,50,1,18,8,21,6,61,475,79,639,85.45,74.42,55,47,43,32,1750.85,1849.15,0.6153846153846154,17,14,3,14.1,1.06,11.03,-98.3,164
2016,BYU,9,4,29.5,19.5,5.43,5.52,299,244,118.12,130.64,544,2615,28,431,1467,14,412,245,12,15,429,271,21,17,21,372,3,12,195,2,16,7,28,10,83,782,82,747,94.55,74.29,55,52,35,26,1959.77,1640.23,0.6923076923076923,31,19,12,10.0,-0.09,20.26,319.54,-35
2016,Ball State,4,8,27.0,30.1,5.64,6.38,294,273,117.02,145.48,519,2640,25,405,1807,15,436,263,15,14,480,301,7,27,7,42,0,15,178,3,13,9,14,7,48,426,70,577,78.18,93.75,55,43,32,30,1863.0,1737.0,0.3333333333333333,14,24,-10,-3.1,-0.74,-15.57,126.0,151
2016,Baylor,7,6,34.6,29.0,6.13,5.43,329,290,136.39,123.64,628,3143,25,620,2609,30,480,269,15,33,412,226,12,17,12,310,2,15,220,1,26,12,19,10,129,1068,77,622,75.0,84.0,60,45,50,42,1620.85,1979.15,0.5384615384615384,22,27,-5,5.6,0.7,-9.0,-358.3,-446
2016,Boise State,10,3,33.8,23.3,6.84,5.2,300,278,161.38,124.28,493,2268,29,533,2298,12,406,253,8,28,442,268,7,19,7,114,1,8,201,2,21,10,7,2,56,491,99,801,84.62,89.47,52,44,38,34,1681.31,1918.69,0.7692307692307693,9,18,-9,10.5,1.64,-4.85,-237.38,310
2016,Boston College,7,6,20.4,25.0,4.42,5.09,189,201,113.92,132.79,566,1938,16,422,1411,15,296,150,8,14,381,213,12,28,12,149,1,8,137,1,22,12,25,15,90,746,73,617,82.05,80.0,39,32,35,28,2008.0,1592.0,0.5384615384615384,27,20,7,-4.6,-0.67,2.05,416.0,-129
2016,Bowling Green,4,8,24.8,38.3,5.13,6.32,279,272,107.7,159.51,503,2170,18,502,2291,28,449,243,25,19,380,243,9,32,9,135,1,25,348,3,20,8,20,8,70,696,90,861,76.6,86.96,47,36,46,40,1720.0,1880.0,0.3333333333333333,17,33,-16,-13.5,-1.19,-10.36,-160.0,165
2016,Buffalo,2,10,16.5,32.3,5.16,5.92,220,259,107.9,135.72,426,1839,12,597,3039,29,397,212,11,11,284,163,5,15,5,0,0,11,160,1,12,8,18,8,63,516,54,445,78.57,87.76,28,22,49,43,1618.5,1981.5,0.16666666666666666,13,19,-6,-15.8,-0.76,-9.19,-363.0,-71
2016,California,5,7,37.1,42.6,5.95,6.71,335,320,135.73,141.87,414,1852,16,532,3274,32,621,383,12,37,395,236,11,30,11,173,1,12,107,2,15,3,17,7,89,909,107,921,87.04,92.59,54,47,54,50,1698.17,1901.83,0.4166666666666667,18,15,3,-5.5,-0.76,-5.55,-203.66,12
2016,Central Michigan,6,7,26.3,30.3,5.8,5.74,257,259,132.78,138.72,407,1507,18,474,2197,15,471,280,16,23,414,248,13,33,13,178,4,16,273,2,20,8,11,5,62,630,59,586,72.5,78.85,40,29,52,41,1939.77,1660.23,0.46153846153846156,18,24,-6,-4.0,0.06,-6.35,279.54,-44
2016,Charlotte,4,8,25.2,34.6,4.92,6.03,237,290,109.53,138.32,487,2114,18,406,1721,24,413,214,6,17,496,310,16,29,16,155,1,6,120,1,11,9,18,7,88,818,89,800,81.4,88.33,43,35,60,53,1739.5,1860.5,0.3333333333333333,23,15,8,-9.4,-1.11,-6.93,-121.0,-18
2016,Cincinnati,4,8,19.3,26.9,5.28,5.34,232,287,121.33,128.41,397,1418,8,562,2275,17,453,259,15,19,389,239,17,18,17,218,1,15,227,3,16,8,15,7,55,544,60,538,81.08,78.43,37,30,51,40,1589.75,2010.25,0.3333333333333333,24,23,1,-7.6,-0.06,2.65,-420.5,-6
2016,Clemson,14,1,39.2,18.0,6.19,4.63,403,255,152.18,100.21,591,2546,30,525,1944,20,629,422,17,45,483,252,20,13,20,309,2,17,169,1,20,11,20,7,95,870,118,1012,84.21,78.95,76,64,38,30,1836.07,1739.93,0.9333333333333333,27,28,-1,21.2,1.56,5.26,96.14,142
2016,Colorado,10,4,31.1,21.7,5.54,4.87,328,246,135.52,104.25,635,2557,30,512,2085,14,469,289,11,21,472,235,15,18,15,203,1,11,111,1,22,9,22,11,76,661,81,724,88.14,74.47,59,52,47,35,1850.93,1749.07,0.7142857142857143,26,20,6,9.4,0.67,13.67,101.86,63
2016,Colorado State,7,6,35.3,30.4,6.68,6.11,292,269,157.04,143.66,539,2831,30,577,2782,34,361,218,7,29,315,185,8,18,8,85,1,7,102,1,18,8,16,6,79,704,79,629,94.34,93.62,53,50,47,44,1758.31,1841.69,0.5384615384615384,14,15,-1,4.9,0.57,0.72,-83.38,-75
2016,Connecticut,3,9,14.8,28.1,4.81,5.72,205,251,110.97,141.01,418,1408,11,448,1753,19,380,213,11,8,414,265,7,20,7,6,0,11,148,2,16,8,15,4,43,339,59,502,73.33,72.92,30,22,48,35,1792.42,1807.58,0.25,11,19,-8,-13.3,-0.91,0.41,-15.16,163
2016,Duke,4,8,23.3,28.2,5.15,6.29,258,216,126.43,145.33,474,1843,19,469,2099,19,443,277,9,18,322,177,10,21,10,50,1,9,38,0,18,14,15,9,62,485,72,585,80.49,81.08,41,33,37,30,1885.5,1714.5,0.3333333333333333,19,23,-4,-4.9,-1.14,-0.59,171.0,100
2016,East Carolina,3,9,27.0,36.1,5.85,6.44,287,256,136.85,137.92,404,1589,13,506,2742,34,554,359,12,26,338,194,5,17,5,44,0,12,270,3,24,12,8,3,60,521,76,673,73.91,89.09,46,34,55,49,1809.67,1790.33,0.25,8,24,-16,-9.1,-0.59,-15.18,19.34,152
2016,Eastern Michigan,7,6,29.6,29.8,5.92,5.84,303,311,131.18,136.46,480,2068,21,502,2178,23,519,309,17,25,461,279,11,25,11,155,1,17,239,3,14,6,29,13,76,741,73,704,89.47,84.09,57,51,44,37,1847.54,1752.46,0.5384615384615384,24,23,1,-0.2,0.08,5.38,95.08,-37
2016,Florida,9,4,23.9,16.8,5.19,4.66,235,206,123.41,92.86,452,1667,11,488,1875,16,410,241,15,18,328,148,16,8,16,321,4,15,171,2,20,7,19,8,88,758,56,466,71.43,71.79,42,30,39,28,1873.15,1726.85,0.6923076923076923,24,22,2,7.1,0.53,-0.36,146.3,-292
2016,Florida Atlantic,3,9,26.4,39.8,5.7,6.91,247,296,117.61,158.52,472,2258,31,537,2945,37,366,215,13,9,355,233,10,24,10,84,1,13,114,1,13,7,8,5,63,577,64,569,82.5,92.86,40,33,56,52,1663.0,1937.0,0.25,15,20,-5,-13.4,-1.21,-10.36,-274.0,-8
2016,Florida International,4,8,24.0,34.8,5.43,6.34,238,269,121.67,143.26,423,1783,16,457,2385,26,407,238,17,19,366,226,6,22,6,106,1,17,339,6,13,6,13,8,64,574,70,611,86.36,90.7,44,38,43,39,1894.08,1705.92,0.3333333333333333,14,23,-9,-10.8,-0.91,-4.34,188.16,37
2016,Florida State,10,3,35.1,25.0,6.45,5.27,321,245,140.68,122.48,518,2628,33,457,1664,19,421,244,8,23,404,224,15,18,15,37,0,8,84,1,23,12,15,8,100,948,86,768,96.49,80.0,57,55,45,36,1975.38,1624.62,0.7692307692307693,23,20,3,10.1,1.18,16.49,350.76,-180
2016,Fresno State,1,11,17.7,30.9,4.68,5.72,206,261,109.06,143.28,440,1394,11,600,2969,25,405,210,13,13,271,160,5,21,5,0,0,13,164,1,13,5,14,4,76,669,69,624,76.47,84.0,34,26,50,42,1728.67,1871.33,0.08333333333333333,9,18,-9,-13.2,-1.04,-7.53,-142.66,-45
2016,Georgia,8,5,24.5,24.0,5.44,5.26,261,208,118.67,122.97,533,2486,18,470,1868,24,386,212,9,16,339,200,15,14,15,108,1,9,210,1,16,10,24,12,74,547,65,517,84.44,90.7,45,38,43,39,2022.77,1577.23,0.6153846153846154,27,19,8,0.5,0.18,-6.26,445.54,-30
2016,Georgia Southern,5,7,26.6,26.5,5.24,5.94,248,254,124.55,134.13,606,2690,24,446,2005,21,264,147,9,13,355,210,9,16,9,39,0,9,111,1,18,9,21,10,91,778,61,603,87.18,77.08,39,34,48,37,1959.25,1640.75,0.4166666666666667,19,18,1,0.1,-0.7,10.1,318.5,-175
